Month,Month,#Passengers,MA,MALag
1949-01-01,1949-01-01,-1.4077788408280638,,
1949-02-01,1949-02-01,-1.3575902326797062,-1.3826845367538851,
1949-03-01,1949-03-01,-1.2404834803335385,-1.2990368565066224,-1.3826845367538851
1949-04-01,1949-04-01,-1.2655777844077172,-1.2530306323706277,-1.2990368565066224
1949-05-01,1949-05-01,-1.3324959286055273,-1.2990368565066222,-1.2530306323706277
1949-06-01,1949-06-01,-1.2153891762593596,-1.2739425524324435,-1.2990368565066222
1949-07-01,1949-07-01,-1.1066471919379182,-1.1610181840986389,-1.2739425524324435
1949-08-01,1949-08-01,-1.1066471919379182,-1.1066471919379182,-1.1610181840986389
1949-09-01,1949-09-01,-1.2070244082346333,-1.1568358000862757,-1.1066471919379182
1949-10-01,1949-10-01,-1.34922546465498,-1.2781249364448066,-1.1568358000862757
1949-11-01,1949-11-01,-1.474696985025874,-1.411961224840427,-1.2781249364448066
1949-12-01,1949-12-01,-1.3575902326797062,-1.4161436088527901,-1.411961224840427
1950-01-01,1950-01-01,-1.3826845367538851,-1.3701373847167957,-1.4161436088527901
1950-02-01,1950-02-01,-1.290672088481896,-1.3366783126178907,-1.3701373847167957
1950-03-01,1950-03-01,-1.165200568111002,-1.227936328296449,-1.3366783126178907
1950-04-01,1950-04-01,-1.2153891762593596,-1.1902948721851807,-1.227936328296449
1950-05-01,1950-05-01,-1.2990368565066224,-1.257213016382991,-1.1902948721851807
1950-06-01,1950-06-01,-1.0982824239131919,-1.198659640209907,-1.257213016382991
1950-07-01,1950-07-01,-0.92262229539394,-1.010452359653566,-1.198659640209907
1950-08-01,1950-08-01,-0.92262229539394,-0.92262229539394,-1.010452359653566
1950-09-01,1950-09-01,-1.0229995116906554,-0.9728109035422977,-0.92262229539394
1950-10-01,1950-10-01,-1.2321187123088122,-1.1275591119997337,-0.9728109035422977
1950-11-01,1950-11-01,-1.3910493047786114,-1.3115840085437118,-1.1275591119997337
1950-12-01,1950-12-01,-1.1735653361357283,-1.28230732045717,-1.3115840085437118
1951-01-01,1951-01-01,-1.1317414960120968,-1.1526534160739126,-1.28230732045717
1951-02-01,1951-02-01,-1.0899176558884656,-1.110829575950281,-1.1526534160739126
1951-03-01,1951-03-01,-0.8557041511961299,-0.9728109035422977,-1.110829575950281
1951-04-01,1951-04-01,-0.981175671567024,-0.9184399113815769,-0.9728109035422977
1951-05-01,1951-05-01,-0.9058927593444875,-0.9435342154557558,-0.9184399113815769
1951-06-01,1951-06-01,-0.8557041511961299,-0.8807984552703088,-0.9435342154557558
1951-07-01,1951-07-01,-0.6800440226768781,-0.7678740869365039,-0.8807984552703088
1951-08-01,1951-08-01,-0.6800440226768781,-0.6800440226768781,-0.7678740869365039
1951-09-01,1951-09-01,-0.8055155430477722,-0.7427797828623252,-0.6800440226768781
1951-10-01,1951-10-01,-0.9895404395917502,-0.8975279913197611,-0.7427797828623252
1951-11-01,1951-11-01,-1.1233767279873705,-1.0564585837895604,-0.8975279913197611
