Month,Month,#Passengers,before_shift,before_lag
1949-01-01,1949-01-01,-1.4077788408280638,,
1949-02-01,1949-02-01,-1.3575902326797062,-1.4077788408280638,
1949-03-01,1949-03-01,-1.2404834803335385,-1.3575902326797062,
1949-04-01,1949-04-01,-1.2655777844077172,-1.2404834803335385,
1949-05-01,1949-05-01,-1.3324959286055273,-1.2655777844077172,
1949-06-01,1949-06-01,-1.2153891762593596,-1.3324959286055273,
1949-07-01,1949-07-01,-1.1066471919379182,-1.2153891762593596,
1949-08-01,1949-08-01,-1.1066471919379182,-1.1066471919379182,
1949-09-01,1949-09-01,-1.2070244082346333,-1.1066471919379182,
1949-10-01,1949-10-01,-1.34922546465498,-1.2070244082346333,
1949-11-01,1949-11-01,-1.474696985025874,-1.34922546465498,
1949-12-01,1949-12-01,-1.3575902326797062,-1.474696985025874,
1950-01-01,1950-01-01,-1.3826845367538851,-1.3575902326797062,-1.4077788408280638
1950-02-01,1950-02-01,-1.290672088481896,-1.3826845367538851,-1.3575902326797062
1950-03-01,1950-03-01,-1.165200568111002,-1.290672088481896,-1.2404834803335385
1950-04-01,1950-04-01,-1.2153891762593596,-1.165200568111002,-1.2655777844077172
1950-05-01,1950-05-01,-1.2990368565066224,-1.2153891762593596,-1.3324959286055273
1950-06-01,1950-06-01,-1.0982824239131919,-1.2990368565066224,-1.2153891762593596
1950-07-01,1950-07-01,-0.92262229539394,-1.0982824239131919,-1.1066471919379182
1950-08-01,1950-08-01,-0.92262229539394,-0.92262229539394,-1.1066471919379182
1950-09-01,1950-09-01,-1.0229995116906554,-0.92262229539394,-1.2070244082346333
1950-10-01,1950-10-01,-1.2321187123088122,-1.0229995116906554,-1.34922546465498
1950-11-01,1950-11-01,-1.3910493047786114,-1.2321187123088122,-1.474696985025874
1950-12-01,1950-12-01,-1.1735653361357283,-1.3910493047786114,-1.3575902326797062
1951-01-01,1951-01-01,-1.1317414960120968,-1.1735653361357283,-1.3826845367538851
1951-02-01,1951-02-01,-1.0899176558884656,-1.1317414960120968,-1.290672088481896
1951-03-01,1951-03-01,-0.8557041511961299,-1.0899176558884656,-1.165200568111002
1951-04-01,1951-04-01,-0.981175671567024,-0.8557041511961299,-1.2153891762593596
1951-05-01,1951-05-01,-0.9058927593444875,-0.981175671567024,-1.2990368565066224
